"Mã SP","Tên Sản Phẩm","Brand Sản Phẩm","Giá Thuê","Giá Cọc","Size","Giá nhập","Tổng doanh thu SP","Tỉ lệ hoàn vốn (%)","Ảnh sản phẩm","Trạng Thái","Ảnh phụ"
"T101","Indy dress L (đen)","Sò Vintage","250.000 đ","600.000 đ","L","946.000 đ","490.000 đ","51,80%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_indy_den.jpg?raw=true","",""
"T102","Kate dress","Sò Vintage","240.000 đ","600.000 đ","L","","726.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_kate.jpg?raw=true","",""
"T103","Janie dress (đen)","Dressesinsilk","150.000 đ","300.000 đ","L","","680.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_janie.jpg?raw=true","",""
"T104","Ivy silk dress","Kisserine","450.000 đ","1.000.000 đ","L","","0 đ","0,00%","","",""
"T105","Lanie dress (nâu choco)","","160.000 đ","300.000 đ","L","","260.000 đ","0,00%","","",""
"T106","Vieni dress (đỏ rượu)","Dressesinsilk","160.000 đ","300.000 đ","L","","320.000 đ","0,00%","","",""
"T107","Vieni dress (xanh than)","Dressesinsilk","160.000 đ","300.000 đ","L","","130.000 đ","0,00%","","",""
"T108","Minty dress (xanh lá)","","160.000 đ","300.000 đ","L","","0 đ","0,00%","","",""
"T109","Sisi dress","Rubies","220.000 đ","300.000 đ","L","","0 đ","0,00%","","",""
"T110","Liberty dress","Poxi","230.000 đ","600.000 đ","L","","0 đ","0,00%","","",""
"T111","Minty dress (hồng)","","160.000 đ","300.000 đ","L","","130.000 đ","0,00%","","",""
"T112","Clover dress","Sò Vintage","240.000 đ","600.000 đ","M","780.000 đ","420.000 đ","53,85%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_clover.jpg?raw=true","",""
"T113","Darie dress","Sò Vintage","350.000 đ","1.500.000 đ","L","","760.000 đ","0,00%","","",""
"T114","Vieni dress (nâu bi đỏ)","Dressesinsilk","160.000 đ","300.000 đ","L","","0 đ","0,00%","","",""
"T115","Baifern dress","","160.000 đ","300.000 đ","L","","310.000 đ","0,00%","","",""
"T116","Athelia dress","Sò Vintage","260.000 đ","600.000 đ","L","","230.000 đ","0,00%","","",""
"T117","Velia dress trắng L","Sò vintage","280.000 đ","800.000 đ","L","1.850.000 đ","2.540.000 đ","137,30%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_velia_trang.jpg?raw=true","",""
"T118","Janie dress (kem)","Dressesinsilk","150.000 đ","300.000 đ","L","","228.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_janie.jpg?raw=true","",""
"T119","Lilbea dress","Dressesinsilk","160.000 đ","400.000 đ","L","","0 đ","0,00%","","",""
"T120","Kira dress","Sò vintage","270.000 đ","600.000 đ","L","","0 đ","0,00%","","",""
"T121","Ahri dress L","","120.000 đ","200.000 đ","L","200.000 đ","120.000 đ","60,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_ahri.jpg?raw=true","",""
"T122","Missi dress L","Wonderhouse","200.000 đ","400.000 đ","L","400.000 đ","540.000 đ","135,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_missi.jpg?raw=true","",""
"T123","Fiona dress L","Wonderhouse","210.000 đ","600.000 đ","L","680.000 đ","390.000 đ","57,35%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_fiona.jpg?raw=true","",""
"T124","Paris Cape dress","Jennie Choo","370.000 đ","1.500.000 đ","L","","1.050.000 đ","0,00%","","",""
"T125","Joie dress","Poxi","250.000 đ","400.000 đ","L","","470.000 đ","0,00%","","",""
"T126","Đầm trễ vai trắng","Meoshop","230.000 đ","400.000 đ","L","","0 đ","0,00%","","",""
"T127","Lillie dress","Meobyantran","250.000 đ","400.000 đ","L","","230.000 đ","0,00%","","",""
"T128","Manga dress","LSeoul","180.000 đ","200.000 đ","S","","0 đ","0,00%","","",""
"T129","Noel set","Tyclothing","190.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T130","Summer set","Tyclothing","160.000 đ","300.000 đ","S","500.000 đ","420.000 đ","84,00%","","",""
"T131","Yếm cam có hoa","Rubies","150.000 đ","200.000 đ","S","199.000 đ","0 đ","0,00%","","",""
"T132","Moore dress","LSoul","200.000 đ","400.000 đ","S","","190.000 đ","0,00%","","",""
"T133","Finn dress","Elpis","200.000 đ","300.000 đ","Xs fit S","","0 đ","0,00%","","",""
